time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,Volume,Volume MA,  rsi,rsi2 ,ADX,ATR,SqueezeState,MACD,Signal
2025-10-11T15:00:00+09:00,112338.7,112718.5,111948.9,112001.4,122792.4944,108555.5956,121826.048,119736.62,115674.045,NaN,NaN,NaN,NaN,-1,3,1642.008399,12552.21536,28.85887161,34.59747949,57.95980845,1.155622658,-1,-2302.368079,-2271.760178
2025-10-11T16:00:00+09:00,112001.4,112050.4,110027,110333.3,122070.0965,108161.9935,121775.307,119519.135,115116.045,NaN,NaN,NaN,NaN,-1,3,5173.413943,12739.44772,24.52258016,32.44802244,59.67569653,1.393362086,-1,-2389.310177,-2329.039145
2025-10-11T17:00:00+09:00,110333.3,111475,110115,111264.1,121084.9317,108119.8083,121731.1425,119326.84,114602.37,NaN,NaN,NaN,NaN,-1,3,4641.007044,12894.2674,30.7733223,34.75693662,61.15763505,1.328576106,-1,-2355.946748,-2360.181037
2025-10-11T18:00:00+09:00,111264.1,111825.8,111207.9,111572.1,119850.2368,108351.5132,121689.842,119132.455,114100.875,NaN,NaN,122455,NaN,-1,3,2625.826648,12680.26862,32.75775231,35.50161331,62.46576779,1.067876436,-1,-2278.389112,-2365.285584
2025-10-11T19:00:00+09:00,111572.1,112207.2,111558,112046.2,118697.7625,108664.8575,121649.4725,118947.5567,113681.31,NaN,NaN,NaN,NaN,-1,3,1729.760229,12172.44428,35.80808057,36.63802631,63.51861741,0.902039911,-1,-2153.840091,-2333.387601
2025-10-11T20:00:00+09:00,112046.2,112291.9,111604.4,112224.2,117763.8851,108923.9649,121609.676,118763.8817,113343.925,NaN,NaN,NaN,NaN,-1,3,1599.407143,11396.09265,36.96426185,37.06303521,64.3115459,0.804610439,-1,-2017.514333,-2290.033925
2025-10-11T21:00:00+09:00,112224.2,112418.7,111972.9,112313.1,116893.2041,109209.5559,121571.2195,118589.4667,113051.38,NaN,110027,NaN,NaN,-1,3,1084.224541,10996.67834,37.56906197,37.27753608,64.82833066,0.668291071,-1,-1880.623049,-2229.597848
2025-10-11T22:00:00+09:00,112313.1,112448.6,111776.3,112198.9,116020.4449,109542.9451,121532.854,118417.745,112781.695,NaN,NaN,NaN,NaN,-1,3,2023.662087,10721.92076,37.0769342,37.11167176,65.11097328,0.645715433,-1,-1761.050413,-2162.977141
2025-10-11T23:00:00+09:00,112198.9,112282,111802.7,111910.5,115066.7127,109969.7373,121492.9665,118256.5967,112518.225,NaN,NaN,NaN,NaN,-1,3,1199.438885,10570.98691,35.80148719,36.69080274,65.11743509,0.574349212,1,-1670.305465,-2089.927496
2025-10-12T00:00:00+09:00,111910.5,112341.3,111730.4,111731.6,114017.057,110531.823,121453.5335,118085.5333,112274.44,NaN,NaN,NaN,NaN,-1,3,1806.928881,9932.38896,34.99723526,36.4291918,64.88014911,0.565764788,1,-1594.445401,-2011.269421
2025-10-12T01:00:00+09:00,111731.6,112038.2,111396,111800,113667.2451,110642.2549,121412.473,117914.02,112154.75,NaN,NaN,NaN,NaN,-1,3,2199.179305,8879.180297,35.59297249,36.60561273,64.55232434,0.568418635,1,-1511.384149,-1913.722085
2025-10-12T02:00:00+09:00,111800,112134.3,111659.7,111942,113515.4938,110662.2562,121370.8325,117745.4633,112088.875,NaN,NaN,NaN,101668.1,-1,3,1343.41612,4016.287936,36.88616859,36.97627936,64.20360912,0.519788244,1,-1417.756284,-1809.4787
2025-10-12T03:00:00+09:00,111942,111976.7,111775.9,111905.9,113248.6519,110758.6681,121328.306,117578.895,112003.66,112448.6,NaN,NaN,NaN,-1,3,748.0944761,3133.418844,36.68450969,36.92025575,63.8606106,0.40644944,1,-1331.124124,-1704.227034
2025-10-12T04:00:00+09:00,111905.9,111975.7,110785.6,111112.8,113182.322,110665.378,121282.3195,117399.8717,111923.85,NaN,NaN,NaN,NaN,-1,3,2677.098434,2821.138052,32.48291402,35.70693388,63.67321942,0.629924967,1,-1311.347656,-1610.616764
2025-10-12T05:00:00+09:00,111112.8,111300.7,109600,110182.4,113256.6707,110366.2893,121231.619,117216.05,111811.48,NaN,NaN,NaN,NaN,-1,3,3233.441044,2665.467902,28.37687939,34.35487294,63.70071547,0.938006596,1,-1355.129082,-1537.018403
2025-10-12T06:00:00+09:00,110182.4,110943.4,109470.5,110839.5,113270.3524,110332.8276,121184.192,117034.165,111801.59,NaN,NaN,NaN,NaN,-1,3,2302.732275,2547.713016,34.65891529,36.09935128,63.93188902,1.064583281,1,-1321.569469,-1474.901338
2025-10-12T07:00:00+09:00,110839.5,111237,110571.6,110972.8,113064.4895,110320.7105,121134.7,116848.62,111692.6,NaN,NaN,NaN,NaN,-1,3,2616.006794,2427.143522,35.88741159,36.44908574,64.20020796,0.908738469,1,-1269.582086,-1420.293746
2025-10-12T08:00:00+09:00,110972.8,111063.7,110571.1,110574.9,113034.7546,110180.8254,121076.432,116647.19,111607.79,NaN,NaN,NaN,NaN,-1,3,955.8098051,2280.409186,33.84203867,35.85117659,64.46775,0.756502319,-1,-1246.124369,-1373.162513
2025-10-12T09:00:00+09:00,110574.9,110609.4,109497.9,109573.1,112998.9809,109884.7691,121011.673,116415.0767,111441.875,NaN,NaN,NaN,NaN,-1,4,2468.500577,2252.537436,29.31231005,34.40080561,64.87780767,0.847076325,-1,-1293.460638,-1339.719762
2025-10-12T10:00:00+09:00,109573.1,110249.2,109563.9,109903.8,112956.4574,109683.8026,120950.9615,116207.4733,111320.13,NaN,NaN,NaN,NaN,-1,4,2655.815336,2236.288598,32.52307702,35.28307572,65.41742499,0.770866757,-1,-1289.426539,-1315.057805
2025-10-12T11:00:00+09:00,109903.8,110635.4,109514.5,110035.9,112917.7202,109525.9898,120888.592,116020.5717,111221.855,NaN,109470.5,NaN,NaN,-1,4,2658.413691,2287.108863,33.81628813,35.63607115,65.76670062,0.85285006,-1,-1261.033709,-1297.644186
2025-10-12T12:00:00+09:00,110035.9,111283.7,109908.6,110612.5,112906.6041,109565.0259,120828.6385,115845.7983,111235.815,NaN,NaN,NaN,NaN,-1,4,7516.517402,2404.264036,39.28594287,37.16325577,65.56397329,0.97999246,-1,-1178.421279,-1280.677203
2025-10-12T13:00:00+09:00,110612.5,111884.9,110530.7,111456.8,112919.0006,109571.8994,120773.9865,115707.365,111245.45,NaN,NaN,NaN,NaN,-1,4,2147.164385,2279.571903,46.28602192,39.31555846,64.62806783,1.053379222,-1,-1032.915571,-1249.740304
2025-10-12T14:00:00+09:00,111456.8,111738.9,111111.1,111625.1,112923.8775,109572.3225,120720.8535,115552.4767,111248.1,NaN,NaN,NaN,NaN,-1,4,1364.604393,2216.51079,47.583365,39.73560042,63.16632713,0.88866678,-1,-893.7186136,-1198.472475
2025-10-12T15:00:00+09:00,111625.1,112059.4,111526.2,111606.2,112870.6512,109581.5488,120666.7935,115402.5667,111226.1,NaN,NaN,NaN,NaN,-1,4,1692.127137,2214.629136,47.44477933,39.70409516,61.10822251,0.75179526,-1,-775.9840333,-1137.851871
2025-10-12T16:00:00+09:00,111606.2,111857.4,111395.2,111439.2,112770.5886,109603.1114,120613.0695,115244.8667,111186.85,NaN,NaN,NaN,NaN,-1,4,1429.622526,2206.139905,46.16534326,39.42215738,58.4496649,0.640199691,-1,-688.2206553,-1073.256156
2025-10-12T17:00:00+09:00,111439.2,111719,111209.9,111219.7,112629.7783,109634.5817,120558.8155,115080.9,111132.18,NaN,NaN,NaN,NaN,-1,4,1240.368004,2213.947078,44.46795929,39.05009738,55.30285744,0.580222997,-1,-629.127175,-1004.700912
2025-10-12T18:00:00+09:00,111219.7,111830.5,111050,111748.1,112554.9987,109664.2813,120508.415,114919.9283,111109.64,NaN,NaN,NaN,NaN,-1,4,1381.641074,2181.846027,49.30055231,40.43166201,51.959784,0.617801571,-1,-533.5077568,-920.2617035
2025-10-12T19:00:00+09:00,111748.1,111950,111354.9,111572.3,112507.8107,109677.6493,120457.189,114752.4533,111092.73,NaN,NaN,NaN,NaN,-1,4,1026.036177,2173.175892,47.80983738,40.12277471,48.66919519,0.590308716,-1,-466.5363294,-828.829458
2025-10-12T20:00:00+09:00,111572.3,112050,111391.1,111767.5,112512.9299,109676.1201,120404.9895,114589.0367,111094.525,112059.4,NaN,NaN,NaN,-1,4,1423.469727,2154.002934,49.63101232,40.63683175,45.59937202,0.589360957,-1,-393.1776745,-732.4010097
2025-10-12T21:00:00+09:00,111767.5,112148.8,111458.9,111702.9,112499.0185,109680.3215,120351.219,114422.92,111089.67,NaN,NaN,NaN,NaN,-1,4,1733.199172,2130.703927,49.02135511,40.51930974,42.67906416,0.599008028,-1,-336.375564,-638.8403747
2025-10-12T22:00:00+09:00,111702.9,111860.5,111175.8,111230.8,112410.5375,109697.6825,120294.998,114250.6733,111054.11,NaN,NaN,NaN,NaN,-1,4,1695.233949,2148.294819,44.69994271,39.66355877,40.13300076,0.60622258,-1,-325.699545,-560.2608163
2025-10-12T23:00:00+09:00,111230.8,112930,111104.2,112230.2,112474.0244,109666.6256,120244.226,114104.5967,111070.325,NaN,NaN,NaN,NaN,1,1,8439.7359,2532.87689,53.95382532,42.29711778,37.88786488,0.942827763,-1,-233.8992505,-486.9475538
2025-10-13T00:00:00+09:00,112230.2,113640,111979.9,113096.4,112828.318,109510.692,120198.3825,113973.4833,111169.505,NaN,NaN,NaN,NaN,1,1,9671.380209,2882.590979,60.17432247,44.44266674,36.05132007,1.113025398,-1,-90.21184878,-410.7506444
